"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2IKPPDNG","journalArticle","","Szarka, Dr Katalin Nóra","Introduction to bioeconomy","","","","","","","","2026-05-08 18:50:11","2026-05-08 18:50:11","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\HGVL638H\Szarka - Introduction to bioeconomy.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLCHVZWR","journalArticle","","Szarka, Dr Katalin Nóra","Biomass and its potential","","","","","","","","2026-05-08 18:51:03","2026-05-08 18:51:03","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\F9REJZBM\Szarka - Biomass and its potential.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HXW3Z2XM","blogPost","","","Biomass characteristics – European Biomass Industry Association","","","","","https://www.eubia.org/cms/wiki-biomass/biomass-characteristics-2/","","","2026-05-09 05:45:51","2026-05-09 05:45:51","2026-05-09 05:45:51","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\jkail\Zotero\storage\QSXCYBUM\biomass-characteristics-2.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH733NS6","webpage","2024","Government of Canada, Canada Energy Regulator","CER – Market Snapshot: Canada’s Bioenergy Diversity and Potential","","","","","https://www.cer-rec.gc.ca/en/data-analysis/energy-markets/market-snapshots/2023/market-snapshot-canada-bioenergy-diversity-potential.html","Market Snapshot: Canada’s Bioenergy Diversity and Potential","2024-05-17","2026-05-09 05:46:31","2026-05-09 05:46:31","2026-05-09 05:46:31","","","","","","","CER – Market Snapshot","","","","","","","eng","","","","","","","Last Modified: 2024-05-17","","C:\Users\jkail\Zotero\storage\C3EHAZW7\market-snapshot-canada-bioenergy-diversity-potential.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6LGJ2L9T","webpage","2026","","Business, industry and trade statistics | Alberta.ca","","","","","https://www.alberta.ca/business-industry-and-trade-statistics","Data, reports and other information regarding Alberta's industries, business investment, exports and primary industries.","2026-05-08","2026-05-10 03:25:23","2026-05-10 03:25:23","2026-05-10 03:25:23","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jkail\Zotero\storage\LKBYNEUW\business-industry-and-trade-statistics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS6VIVKW","webpage","2009","Canada, Natural Resources","Bioenergy systems","","","","","https://natural-resources.canada.ca/energy-sources/renewable-energy/bioenergy-systems","Biomass is organic material originating from plant and animal sources.","2009-03-23","2026-05-10 03:26:30","2026-05-10 03:26:30","2026-05-10 03:26:30","","","","","","","","","","","","","","eng","","","","","","","Last Modified: 2026-01-05","","C:\Users\jkail\Zotero\storage\K8JC8LWN\bioenergy-systems.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKFTFXL6","blogPost","","","Bio-economy Facts","BioTalent Canada","","","","https://www.biotalent.ca/bio-economy-facts/","BioTalent Canada supports the people behind life-changing science. Trusted as the go-to source for labour market intelligence, BioTalent Canada guides bio-economy stakeholders with evidence-based data and industry-driven standards. BioTalent Canada is focused on igniting the industry’s brainpower, bridging the gap between job-ready talent and employers, and ensuring the long-term agility, resiliency, and sustainability of one of Canada’s most vital sectors.","","2026-05-10 03:27:00","2026-05-10 03:27:00","2026-05-10 03:27:00","","","","","","","","","","","","","","en-US","","","","","","","","","C:\Users\jkail\Zotero\storage\5FTAKIGC\bio-economy-facts.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8SMNNPB","blogPost","","","Feedstock","CAPP | A Unified Voice for Canada's Upstream Oil and Gas Industry","","","","https://www.capp.ca/en/glossary/feedstock/","Raw material supplied to a refinery or oil sands upgrader. For example, crude oil is a feedstock in a refining process which produces gasoline.","","2026-05-10 03:27:55","2026-05-10 03:27:55","2026-05-10 03:27:55","","","","","","","","","","","","","","en-CA","","","","","","","","","C:\Users\jkail\Zotero\storage\TL79ZSGH\feedstock.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACVCHWFL","webpage","","","University of Calgary Libraries & Cultural Resources | University of Calgary Library","Libraries & Cultural Resources | University of Calgary","","","","http://library.ucalgary.ca/","Optimize your learning experience at the University of Calgary Libraries and Cultural resources through our services and curated resources.","","2026-05-10 03:28:38","2026-05-10 03:28:38","2026-05-10 03:28:38","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jkail\Zotero\storage\ZJBRCD3W\library.ucalgary.ca.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQK2XYZ2","webpage","","","Characterization of Canadian biomass for alternative renewable biofuel - ScienceDirect","","","","","https://www.sciencedirect.com/science/article/pii/S0960148109003838?casa_token=Y4Ay5169KAwAAAAA:9jB7kM_ykVIXgZJJ5Ar3XNLB5kPLxJaOEvQZIoaM67c16cxXLAFC5lBwASB_vQ5teQ7ms9gA_Q","","","2026-05-10 03:37:28","2026-05-10 03:37:28","2026-05-10 03:37:28","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jkail\Zotero\storage\IV6UHULT\S0960148109003838.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELHEQJX3","journalArticle","2025","Jacob, Liz Mariya; Irvine, Kim Neil; Beza, Beau B.; Chua, Lloyd H.C.","Adaptive resilience in wetlands: An integrative review of principles, research gaps, and ways forward for better adaptive management","Ecological Engineering","","09258574","10.1016/j.ecoleng.2025.107720","https://linkinghub.elsevier.com/retrieve/pii/S0925857425002101","","2025-10","2026-05-11 17:25:26","2026-05-11 17:25:26","2026-05-11 17:25:26","107720","","","220","","Ecological Engineering","Adaptive resilience in wetlands","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8FQCZ45E","journalArticle","","","Agriculture Facts","","","","","","","","2026-05-28 01:04:32","2026-05-28 01:04:32","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\A39WBKPP\Agriculture Facts.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELUSWGB9","webpage","","","Biomass potential | Knowledge for policy","","","","","https://knowledge4policy.ec.europa.eu/glossary-item/biomass-potential_en","Different potenti","","2026-05-28 01:24:00","2026-05-28 01:24:00","2026-05-28 01:24:00","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\jkail\Zotero\storage\XS5DHKSH\biomass-potential_en.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VW7ZNXGK","webpage","","","Carbon Content - an overview | ScienceDirect Topics","","","","","https://www.sciencedirect.com/topics/computer-science/carbon-content","","","2026-05-28 01:30:54","2026-05-28 01:30:54","2026-05-28 01:30:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\jkail\Zotero\storage\BE75ST6Y\carbon-content.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNZX5FEH","webpage","2019","Government of Canada, Statistics Canada","Lumber production, shipments, and stocks by species, monthly","","","","","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610001701","Lumber, monthly production, shipments and stocks by species; data in thousands of cubic metres.","2019-04-17","2026-06-01 18:17:28","2026-06-01 18:17:28","2026-06-01 18:17:28","","","","","","","","","","","","","","eng","","","","","","","Last Modified: 2026-05-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4BYZ9YVU","journalArticle","","","Alberta's Forest Economy 2023","","","","","","","","2026-06-01 18:31:12","2026-06-01 18:31:12","","","","","","","","","","","","","","","en","","","","","Zotero","","","","C:\Users\jkail\Zotero\storage\XJCZF2AY\Alberta's Forest Economy 2023.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
